,<= 0,Lo 30,Med 40,Hi 30,Lo 20,Qnt 2,Qnt 3,Qnt 4,Hi 20,Lo 10,Dec 2,Dec 3,Dec 4,Dec 5,Dec 6,Dec 7,Dec 8,Dec 9,Hi 10
200003,   -0.56,    7.80,    8.74,    6.09,    7.33,    9.19,    9.46,    9.05,    7.65,    7.71,    6.18,   11.09,    7.13,    9.09,    9.97,   11.60,    4.15,    7.77,    7.40
200004,  -14.10,   -4.63,   -1.02,   -1.93,   -4.80,   -3.09,    0.00,    0.39,   -2.52,   -5.52,   -2.56,   -3.46,   -2.68,   -1.28,    1.71,    1.15,   -1.17,   -0.99,   -5.76
200005,  -10.48,   -3.58,   -0.11,   -0.11,   -3.89,   -1.66,    2.37,   -1.19,    0.62,   -3.87,   -3.95,   -1.54,   -1.81,    2.77,    1.84,   -1.27,   -1.03,    1.09,   -0.43
200006,   16.54,    5.16,   -3.38,    1.89,    6.35,   -2.48,   -3.83,   -2.66,    1.94,    8.55,   -0.17,   -2.54,   -2.42,   -3.95,   -3.68,   -4.79,    1.83,    1.44,    3.08
200007,   -5.38,   -3.16,    3.46,    3.66,   -3.42,    0.01,    4.32,    4.43,    2.66,   -4.95,    0.92,   -0.95,    1.80,    4.27,    4.44,    4.23,    4.73,    4.07,   -0.10
200008,    9.60,    7.68,    7.69,    6.81,    7.88,    6.24,    9.09,    6.30,    6.33,    8.25,    6.89,    6.00,    6.66,    9.38,    8.46,    5.65,    7.31,    6.87,    5.23
200009,   -8.13,   -5.99,    1.38,    0.90,   -6.31,   -2.45,    1.29,    5.06,   -0.77,   -8.24,   -1.12,   -3.18,   -1.14,    0.75,    2.50,    6.66,    2.63,   -0.04,   -2.30
200010,  -14.61,   -2.24,   -0.49,    1.12,   -2.56,    1.39,   -2.82,    0.25,    1.00,   -3.96,    0.95,    0.45,    3.04,   -4.44,    0.82,   -0.39,    1.23,    0.17,    2.76
200011,  -24.26,  -10.75,   -3.43,   -0.57,  -11.23,   -5.71,   -4.66,    0.18,   -0.50,  -13.10,   -6.77,   -6.82,   -3.80,   -6.77,   -0.07,    0.73,   -0.64,    0.98,   -3.54
200012,   -0.13,   -0.12,    8.94,    9.03,   -1.04,    8.10,    8.26,    9.96,    6.84,   -2.80,    2.86,    7.11,    9.75,    7.34,   10.04,    9.18,   11.19,    7.37,    5.72
200101,    9.94,    3.71,    2.24,    1.53,    3.62,    3.51,    4.35,   -2.54,    5.64,    4.67,    1.46,    4.38,    2.12,    9.14,   -4.05,   -2.65,   -2.36,    4.60,    7.89
200102,  -17.95,  -11.25,   -0.80,    0.90,  -12.26,   -3.03,   -1.27,    1.90,    1.45,  -14.77,   -6.91,   -3.64,   -2.05,   -2.73,    1.63,    2.89,    0.35,    1.14,    2.21
200103,  -10.11,   -8.05,   -1.36,   -1.34,   -8.74,   -2.62,   -0.76,   -2.18,   -1.22,  -10.69,   -4.92,   -3.35,   -1.47,   -0.97,   -0.37,   -2.62,   -1.47,   -1.12,   -1.45
200104,    6.49,    9.02,    4.87,    4.82,    9.40,    6.14,    4.39,    4.23,    6.21,   11.12,    6.26,    6.51,    5.57,    4.64,    3.93,    4.74,    3.41,    5.81,    7.22
200105,    1.92,    0.50,    2.43,    5.27,    0.25,    1.71,    3.68,    3.29,    5.41,   -0.33,    1.34,    2.21,    0.92,    3.81,    3.45,    2.18,    5.12,    5.43,    5.37
200106,    2.76,   -1.99,   -0.33,    0.25,   -1.69,   -2.72,    0.36,   -0.97,    1.16,   -1.65,   -1.77,   -3.94,   -0.81,    0.38,    0.33,   -1.17,   -0.66,    1.41,    0.56
200107,   -3.57,   -1.97,   -1.59,    0.12,   -2.11,   -0.93,   -1.64,   -2.55,    2.95,   -1.88,   -2.46,   -0.84,   -1.03,   -1.83,   -1.51,   -2.45,   -2.69,    3.96,   -0.66
200108,   -6.36,   -6.92,   -3.75,   -6.15,   -7.35,   -4.09,   -2.84,   -5.42,   -5.65,   -7.16,   -7.63,   -3.58,   -4.66,   -3.03,   -2.72,   -4.55,   -6.67,   -5.85,   -4.86
200109,  -11.29,   -8.44,  -10.04,   -9.99,   -8.02,  -11.67,   -8.15,  -12.54,   -7.02,   -7.44,   -8.91,  -11.62,  -11.72,   -8.46,   -7.93,  -12.11,  -13.17,   -4.52,  -16.51
200110,    4.22,    3.56,    1.13,   -2.29,    3.97,    0.95,   -0.27,    2.98,   -5.56,    4.36,    3.39,    0.27,    1.75,    0.38,   -0.74,    4.01,    1.44,   -7.80,    4.08
200111,    8.69,    7.95,    6.78,   11.18,    7.76,    8.70,    5.30,   10.43,   10.29,    8.38,    6.79,    9.55,    7.70,    6.08,    4.73,    9.30,   12.12,   10.24,   10.50
200112,    6.98,    0.86,    3.44,    3.78,    0.42,    3.33,    4.54,    3.21,    3.72,   -0.54,    1.94,    4.39,    2.09,    4.16,    4.83,    2.78,    3.85,    3.07,    6.20
200201,   -2.29,   -1.05,   -1.33,   -0.67,   -1.12,   -1.87,   -0.01,    0.09,   -3.27,   -1.37,   -0.75,   -0.50,   -3.52,    0.91,   -0.67,   -1.27,    2.01,   -3.89,   -0.93
200202,   -3.83,   -2.58,   -0.07,   -3.68,   -2.85,    0.17,    0.50,   -2.67,   -5.67,   -2.53,   -3.34,   -0.49,    0.99,    0.32,    0.63,   -3.36,   -1.72,   -6.06,   -4.25
200203,    4.04,    3.73,    5.84,    6.54,    3.36,    6.39,    4.68,    8.04,    5.62,    2.44,    4.78,    6.53,    6.21,    6.16,    3.60,    8.50,    7.40,    4.32,   10.31
200204,   -1.54,   -7.01,   -0.16,   -3.25,   -7.67,   -2.07,    1.34,   -0.79,   -6.70,   -8.10,   -7.01,   -2.19,   -1.91,    1.57,    1.16,   -1.32,   -0.06,   -9.54,    2.92
200205,   -2.20,   -1.52,   -0.15,   -2.42,   -1.62,   -0.28,   -0.68,   -0.36,   -3.70,   -2.27,   -0.64,   -0.87,    0.43,   -1.53,   -0.07,    0.33,   -1.31,   -4.47,   -1.39
200206,   -9.67,   -7.43,   -5.62,   -8.37,   -7.70,   -5.32,   -6.04,   -7.18,   -7.12,   -8.57,   -6.42,   -5.61,   -4.96,   -4.11,   -7.40,   -5.58,   -9.43,   -7.77,   -5.23
200207,   -7.01,   -6.79,   -9.55,  -13.91,   -6.10,  -10.24,   -8.63,  -11.39,  -15.63,   -4.80,   -8.19,  -10.00,  -10.61,   -6.53,  -12.20,  -10.33,  -12.49,  -15.26,  -16.69
200208,    2.93,   -0.11,    1.58,    4.62,   -0.21,    0.69,    1.62,    3.30,    4.66,    0.34,   -1.13,    0.39,    1.20,    1.91,    1.09,    2.11,    4.58,    4.86,    4.07
200209,   -4.83,  -10.73,   -9.84,   -8.58,  -10.85,  -10.42,   -9.40,   -8.65,   -9.53,   -9.66,  -12.84,  -10.17,  -10.83,   -7.95,  -12.04,   -9.45,   -7.82,   -8.31,  -13.10
200210,    7.44,    9.68,    4.36,    6.01,   10.10,    6.33,    4.56,    4.72,    7.02,   10.26,    9.82,    7.67,    4.10,    6.63,    0.60,    4.23,    5.21,    7.48,    5.59
